model,parameter,condition1,condition2,comparison,t_value,p_value,cohens_d,df,homogeneity_assumption,normality_assumption
ActorCritic+novel,novel_value,no pain,acute pain,no pain vs acute pain,2.665928335,0.008470667,0.447107131,159,met,violated
ActorCritic+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,0.017881772,0.985752545,0.0026571,184,met,violated
Relative+novel,factual_lr,no pain,acute pain,no pain vs acute pain,1.447391414,0.149756109,0.242744343,159,met,violated
Relative+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,0.625827482,0.532203613,0.092993357,184,met,violated
Relative+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,-0.16941202,0.865687913,-0.028412363,159,met,violated
Relative+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,0.123485425,0.901857499,0.018349025,184,met,violated
Relative+novel,contextual_lr,no pain,acute pain,no pain vs acute pain,-1.629154806,0.105259902,-0.273228174,159,met,violated
Relative+novel,contextual_lr,no pain,chronic pain,no pain vs chronic pain,-2.769509901,0.006189452,-0.411528782,184,met,violated
Relative+novel,temperature,no pain,acute pain,no pain vs acute pain,-0.439495399,0.660899359,-0.07370848,159,met,met
Relative+novel,temperature,no pain,chronic pain,no pain vs chronic pain,0.113928212,0.909418917,0.016928894,184,met,met
Relative+novel,novel_value,no pain,acute pain,no pain vs acute pain,1.555358707,0.12184888,0.260851711,159,met,violated
Relative+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.66314492,0.508067664,-0.098538453,184,met,violated
Advantage+novel,factual_lr,no pain,acute pain,no pain vs acute pain,0.50491912,0.614314748,0.084680798,159,met,violated
Advantage+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,0.317093782,0.751613464,0.048304078,149.9648083,violated,violated
Advantage+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,0.012934492,0.989696271,0.002169265,159,met,violated
Advantage+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,0.278541976,0.780909129,0.041389287,184,met,violated
Advantage+novel,temperature,no pain,acute pain,no pain vs acute pain,-0.465172109,0.642444666,-0.078014763,159,met,met
Advantage+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-0.051539782,0.958951311,-0.007658432,184,met,met
Advantage+novel,weighing_factor,no pain,acute pain,no pain vs acute pain,-1.485467101,0.139400135,-0.249130078,159,met,violated
Advantage+novel,weighing_factor,no pain,chronic pain,no pain vs chronic pain,-2.648925603,0.00877679,-0.393610843,184,met,violated
Advantage+novel,novel_value,no pain,acute pain,no pain vs acute pain,1.566698846,0.119173144,0.262753584,159,met,violated
Advantage+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.273473579,0.784795922,-0.040636161,184,met,violated
Hybrid2012+novel,factual_lr,no pain,acute pain,no pain vs acute pain,-0.713420238,0.476631582,-0.119648856,159,met,violated
Hybrid2012+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,-0.683899427,0.494899059,-0.10162242,184,met,violated
Hybrid2012+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,0.965931403,0.335545389,0.16199791,159,met,violated
Hybrid2012+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,1.865322385,0.063728228,0.277173174,184,met,violated
Hybrid2012+novel,factual_actor_lr,no pain,acute pain,no pain vs acute pain,1.364592311,0.174309342,0.228857972,159,met,violated
Hybrid2012+novel,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,1.890096219,0.060317272,0.280854383,184,met,violated
Hybrid2012+novel,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-1.539674066,0.125627589,-0.258221215,159,met,violated
Hybrid2012+novel,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-1.962255385,0.051240693,-0.291576704,184,met,violated
Hybrid2012+novel,critic_lr,no pain,acute pain,no pain vs acute pain,-2.156138363,0.032576235,-0.361609434,159,met,violated
Hybrid2012+novel,critic_lr,no pain,chronic pain,no pain vs chronic pain,-0.4668422,0.641165084,-0.069369314,184,met,violated
Hybrid2012+novel,temperature,no pain,acute pain,no pain vs acute pain,-0.50288514,0.615740894,-0.084339676,159,met,met
Hybrid2012+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-1.118832985,0.264669894,-0.166250345,184,met,met
Hybrid2012+novel,mixing_factor,no pain,acute pain,no pain vs acute pain,0.953320362,0.341874807,0.159882892,159,met,violated
Hybrid2012+novel,mixing_factor,no pain,chronic pain,no pain vs chronic pain,1.803909423,0.072881144,0.26804766,184,met,violated
Hybrid2012+novel,novel_value,no pain,acute pain,no pain vs acute pain,2.217563685,0.028002591,0.371911174,159,met,violated
Hybrid2012+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,0.435785482,0.663503193,0.064754514,184,met,violated
