model,parameter,condition1,condition2,comparison,t_value,p_value,cohens_d,df,homogeneity_assumption,normality_assumption
Relative+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,0.42144351980636613,0.6739455051390102,0.06501275686093187,176.0,met,violated
Relative+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,0.0963907887846523,0.9233025720763002,0.013283720599654802,209.0,met,violated
Relative+novel,contextual_lr,no pain,acute pain,no pain vs acute pain,-2.937831289275586,0.0040090071603693074,-0.4851151215744271,112.69716532709265,violated,violated
Relative+novel,contextual_lr,no pain,chronic pain,no pain vs chronic pain,-2.5070779204167963,0.012934707154466448,-0.3455031651497699,209.0,met,violated
Relative+novel,temperature,no pain,acute pain,no pain vs acute pain,-0.34723899099859556,0.7288266511344041,-0.053565811392233896,176.0,met,violated
Relative+novel,temperature,no pain,chronic pain,no pain vs chronic pain,0.38614318643208556,0.6997834257153939,0.05321481714901127,209.0,met,violated
Relative+novel,novel_value,no pain,acute pain,no pain vs acute pain,1.12429610729993,0.26241849015830426,0.17343626376593868,176.0,met,violated
Relative+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.2671114655808367,0.7896467233321327,-0.0368109248038969,209.0,met,violated
Hybrid2012+bias+novel,factual_lr,no pain,acute pain,no pain vs acute pain,0.7562075220567807,0.45053577161840164,0.11665415045525777,176.0,met,violated
Hybrid2012+bias+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,0.05606771182639441,0.9553414287258446,0.007726753022300946,209.0,met,violated
Hybrid2012+bias+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,-0.4068250056387763,0.6846308246881576,-0.06275767435857835,176.0,met,violated
Hybrid2012+bias+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,1.7450518584432981,0.08254774550453683,0.2423428961737543,195.42218617843145,violated,violated
Hybrid2012+bias+novel,factual_actor_lr,no pain,acute pain,no pain vs acute pain,1.0903729319468634,0.2770394718205949,0.1682032039428977,176.0,met,violated
Hybrid2012+bias+novel,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-0.03752410034891353,0.970102941258711,-0.005171237532893216,209.0,met,violated
Hybrid2012+bias+novel,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-1.0245113262522594,0.3069998967967631,-0.15804325520418844,176.0,met,violated
Hybrid2012+bias+novel,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-0.00453905219830791,0.9963827023093415,-0.000625531774869879,209.0,met,violated
Hybrid2012+bias+novel,critic_lr,no pain,acute pain,no pain vs acute pain,-2.206983547298097,0.028608867913014042,-0.34045388768224866,176.0,met,violated
Hybrid2012+bias+novel,critic_lr,no pain,chronic pain,no pain vs chronic pain,-2.138724588100085,0.03361824779899007,-0.29473998735921647,209.0,met,violated
Hybrid2012+bias+novel,temperature,no pain,acute pain,no pain vs acute pain,-1.3636939385223692,0.17440555232098046,-0.2103662728011938,176.0,met,violated
Hybrid2012+bias+novel,temperature,no pain,chronic pain,no pain vs chronic pain,0.712606151779667,0.4768843078261973,0.09820503740232407,209.0,met,violated
Hybrid2012+bias+novel,mixing_factor,no pain,acute pain,no pain vs acute pain,0.6822471260214572,0.49597961106677924,0.10524486541750958,176.0,met,violated
Hybrid2012+bias+novel,mixing_factor,no pain,chronic pain,no pain vs chronic pain,0.7670224452209813,0.44393374477822545,0.10570420664097585,209.0,met,violated
Hybrid2012+bias+novel,valence_factor,no pain,acute pain,no pain vs acute pain,-0.39491399497425805,0.6933845436474741,-0.06092025699680216,176.0,met,violated
Hybrid2012+bias+novel,valence_factor,no pain,chronic pain,no pain vs chronic pain,-0.23000961306343548,0.8183092617800386,-0.03169787770899408,209.0,met,violated
Hybrid2012+bias+novel,novel_value,no pain,acute pain,no pain vs acute pain,0.9762190302395913,0.33029582040613537,0.15059358484178675,176.0,met,violated
Hybrid2012+bias+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.9609869305050431,0.3376691967292891,-0.13243466565325424,209.0,met,violated
Hybrid2021+bias+decay+novel,factual_lr,no pain,acute pain,no pain vs acute pain,-0.7619367357525269,0.4471175958632213,-0.11753795091605737,176.0,met,violated
Hybrid2021+bias+decay+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,-0.5555170263702085,0.5791352038571477,-0.07655641228477923,209.0,met,violated
Hybrid2021+bias+decay+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,-0.04988483506538227,0.9602707291957346,-0.007695338760086912,176.0,met,violated
Hybrid2021+bias+decay+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,0.6707910052168934,0.5030942831740011,0.09244244607200035,209.0,met,violated
Hybrid2021+bias+decay+novel,factual_actor_lr,no pain,acute pain,no pain vs acute pain,0.004198400075212394,0.9966549261728094,0.0006476539570951504,176.0,met,violated
Hybrid2021+bias+decay+novel,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,0.8886205078311925,0.37522864261319333,0.12246176936600012,209.0,met,violated
Hybrid2021+bias+decay+novel,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-1.5004904833425292,0.13527918541438758,-0.2314687932810313,176.0,met,violated
Hybrid2021+bias+decay+novel,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-0.6075214624730977,0.5441644135879806,-0.08372320081139595,209.0,met,violated
Hybrid2021+bias+decay+novel,critic_lr,no pain,acute pain,no pain vs acute pain,-0.43340057482595296,0.6652544995907075,-0.06685727712100929,176.0,met,violated
Hybrid2021+bias+decay+novel,critic_lr,no pain,chronic pain,no pain vs chronic pain,-0.4080841428901868,0.6836296537536186,-0.056238524486127865,209.0,met,violated
Hybrid2021+bias+decay+novel,temperature,no pain,acute pain,no pain vs acute pain,1.705290492927073,0.08990454553448453,0.26306167014945225,176.0,met,violated
Hybrid2021+bias+decay+novel,temperature,no pain,chronic pain,no pain vs chronic pain,0.7886306028871958,0.4312215662541362,0.10868205061061649,209.0,met,violated
Hybrid2021+bias+decay+novel,mixing_factor,no pain,acute pain,no pain vs acute pain,1.0315655587425325,0.3036911437124962,0.15913145582936675,176.0,met,violated
Hybrid2021+bias+decay+novel,mixing_factor,no pain,chronic pain,no pain vs chronic pain,1.0209200148780455,0.30847261650265023,0.14069410991680473,209.0,met,violated
Hybrid2021+bias+decay+novel,noise_factor,no pain,acute pain,no pain vs acute pain,-1.362738445058365,0.17470605494563607,-0.21021887638545095,176.0,met,violated
Hybrid2021+bias+decay+novel,noise_factor,no pain,chronic pain,no pain vs chronic pain,0.9006917684094468,0.3687889090388896,0.12412532306059015,209.0,met,violated
Hybrid2021+bias+decay+novel,valence_factor,no pain,acute pain,no pain vs acute pain,-0.30406969494832536,0.7614339931440063,-0.046906425695039444,176.0,met,violated
Hybrid2021+bias+decay+novel,valence_factor,no pain,chronic pain,no pain vs chronic pain,0.352793978078888,0.7245984359152946,0.04861892607301579,209.0,met,violated
Hybrid2021+bias+decay+novel,novel_value,no pain,acute pain,no pain vs acute pain,0.7535084709731008,0.45215124345993474,0.11623778920253491,176.0,met,violated
Hybrid2021+bias+decay+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.8470425612846589,0.39794028574981277,-0.11673186683075419,209.0,met,violated
Hybrid2021+bias+decay+novel,decay_factor,no pain,acute pain,no pain vs acute pain,-2.0521759364143675,0.04238885131041504,-0.3354193421302426,116.73810122160594,violated,violated
Hybrid2021+bias+decay+novel,decay_factor,no pain,chronic pain,no pain vs chronic pain,-0.9603540861706447,0.337986737382593,-0.1323474526796162,209.0,met,violated
